longitude,latitude,trace_type
-10033717.120918091,4671500.9390987465,racing_line
-10033717.160124483,4671501.2032707855,racing_line
-10033717.200494148,4671501.467617344,racing_line
-10033717.242144065,4671501.7317846175,racing_line
-10033717.285609245,4671501.995313661,racing_line
-10033717.328204919,4671502.257910235,racing_line
-10033717.36967387,4671502.519440753,racing_line
-10033717.40988259,4671502.779861283,racing_line
-10033717.448866127,4671503.039192199,racing_line
-10033717.486847928,4671503.297492949,racing_line
-10033717.524217099,4671503.554843964,racing_line
-10033717.561466482,4671503.8113391595,racing_line
-10033717.599106763,4671504.067088591,racing_line
-10033717.637579935,4671504.322226149,racing_line
-10033717.95335126,4671504.527128161,racing_line
-10033717.966593536,4671504.788155471,racing_line
-10033717.76627355,4671505.084481809,racing_line
-10033717.812487714,4671505.338357113,racing_line
-10033717.858016487,4671505.592805201,racing_line
-10033717.903159037,4671505.84781426,racing_line
-10033717.948203748,4671506.103326863,racing_line
-10033717.993405752,4671506.3592533935,racing_line
-10033718.038975464,4671506.615483409,racing_line
-10033718.085073704,4671506.871895669,racing_line
-10033718.131677875,4671507.128392093,racing_line
-10033718.860591715,4671507.236698885,racing_line
-10033718.230027266,4671507.629004275,racing_line
-10033718.036818773,4671507.91927081,racing_line
-10033718.097727908,4671508.157957748,racing_line
-10033718.128813501,4671508.404660102,racing_line
-10033718.179791203,4671508.644913751,racing_line
-10033718.252287032,4671508.88564935,racing_line
-10033718.495695004,4671509.10933549,racing_line
-10033718.533030793,4671509.35927364,racing_line
-10033718.56958317,4671509.609838086,racing_line
-10033718.60610161,4671509.860787915,racing_line
-10033718.643330012,4671510.111867137,racing_line
-10033718.881846828,4671510.314911508,racing_line
-10033718.97341759,4671510.554400776,racing_line
-10033719.054707034,4671510.796953968,racing_line
-10033719.125168478,4671511.042347395,racing_line
-10033719.184101911,4671511.290254628,racing_line
-10033718.912763081,4671511.60694311,racing_line
-10033718.772124454,4671511.892023533,racing_line
-10033719.013368346,4671512.097637825,racing_line
-10033719.060741235,4671512.341661232,racing_line
-10033719.106611792,4671512.584694907,racing_line
-10033719.151461523,4671512.826700655,racing_line
-10033719.195853956,4671513.067665258,racing_line
-10033719.240379218,4671513.307600183,racing_line
-10033719.285583083,4671513.546548374,racing_line
-10033719.33189763,4671513.784594072,racing_line
-10033719.584225865,4671513.97557189,racing_line
-10033719.613962535,4671514.21779177,racing_line
-10033719.480385154,4671514.494614784,racing_line
-10033719.530337676,4671514.731139855,racing_line
-10033719.579359015,4671514.968069586,racing_line
-10033719.627836375,4671515.205380374,racing_line
-10033719.67613773,4671515.443013737,racing_line
-10033719.724582799,4671515.680889247,racing_line
-10033719.773426656,4671515.918914398,racing_line
-10033719.822852775,4671516.156992199,racing_line
-10033719.872972121,4671516.395027377,racing_line
-10033719.923825674,4671516.63293204,racing_line
-10033719.9748789,4671516.87073429,racing_line
-10033720.025169995,4671517.108553465,racing_line
-10033720.074993994,4671517.346269527,racing_line
-10033720.124480331,4671517.58381572,racing_line
-10033720.17377748,4671517.821139062,racing_line
-10033720.223036189,4671518.058202833,racing_line
-10033720.272392439,4671518.294988153,racing_line
-10033720.321952792,4671518.531494359,racing_line
-10033720.371784084,4671518.767738028,racing_line
-10033720.421908852,4671519.00375055,racing_line
