t,seconds_elapsed,tone_hz,rpm_est
1782422514999623400,0.0,35.15625,4218.75
1782422515009623400,0.01,35.15625,4218.75
1782422515019623400,0.02,35.15625,4218.75
1782422515029623400,0.03,35.15625,4218.75
1782422515039623400,0.04,35.15625,4218.75
1782422515049623400,0.05,35.15625,4218.75
1782422515059623400,0.06,35.15625,4218.75
1782422515069623400,0.07,35.15625,4218.75
1782422515079623400,0.08,35.15625,4218.75
1782422515089623400,0.09,35.15625,4218.75
1782422515099623400,0.1,35.15625,4218.75
1782422515109623400,0.11,35.15625,4218.75
1782422515119623400,0.12,35.15625,4218.75
1782422515129623400,0.13,35.2087200062256,4225.046400747072
1782422515139623400,0.14,35.51323692978035,4261.588431573642
1782422515149623400,0.15,35.8177538533351,4298.130462400211
1782422515159623400,0.16,36.12227077688985,4334.672493226782
1782422515169623400,0.17,36.4267877004446,4371.214524053352
1782422515179623400,0.18,36.73130462399935,4407.756554879922
1782422515189623400,0.19,37.0358215475541,4444.298585706491
1782422515199623400,0.2,37.34033847110885,4480.840616533062
1782422515209623400,0.21,37.644855394663594,4517.382647359632
1782422515219623400,0.22,37.949372318218344,4553.924678186202
1782422515229623400,0.23,38.253889241773095,4590.466709012771
1782422515239623400,0.24,38.558406165327845,4627.008739839342
1782422515249623400,0.25,38.862923088882596,4663.550770665912
1782422515259623400,0.26,38.95755998756247,4674.907198507496
1782422515269623400,0.27,38.65304306400718,4638.365167680861
1782422515279623400,0.28,38.34852614045189,4601.8231368542265
1782422515289623400,0.29,38.0440092168966,4565.281106027592
1782422515299623400,0.3,37.73949229334131,4528.739075200957
1782422515309623400,0.31,37.43497536978602,4492.197044374322
1782422515319623400,0.32,37.130458446230726,4455.655013547687
1782422515329623400,0.33,36.825941522675436,4419.1129827210525
1782422515339623400,0.34,36.521424599120145,4382.570951894418
1782422515349623400,0.35,36.21690767556486,4346.028921067783
1782422515359623400,0.36,35.91239075200957,4309.486890241148
1782422515369623400,0.37,35.60787382845428,4272.944859414513
1782422515379623400,0.38,35.30335690489899,4236.4028285878785
1782422515389623400,0.39,35.15625,4218.75
1782422515399623400,0.4,35.15625,4218.75
1782422515409623400,0.41,35.15625,4218.75
1782422515419623400,0.42,35.15625,4218.75
1782422515429623400,0.43,35.15625,4218.75
1782422515439623400,0.44,35.15625,4218.75
1782422515449623400,0.45,35.15625,4218.75
1782422515459623400,0.46,35.15625,4218.75
1782422515469623400,0.47,35.15625,4218.75
1782422515479623400,0.48,35.15625,4218.75
1782422515489623400,0.49,35.15625,4218.75
1782422515499623400,0.5,35.15625,4218.75
1782422515509623400,0.51,35.15625,4218.75
1782422515519623400,0.52,34.94636997511838,4193.5643970142055
1782422515529623400,0.53,34.64185305156363,4157.022366187636
1782422515539623400,0.54,34.33733612800888,4120.480335361066
1782422515549623400,0.55,34.03281920445413,4083.9383045344957
1782422515559623400,0.56,33.72830228089938,4047.3962737079255
1782422515569623400,0.5700000000000001,33.42378535734463,4010.8542428813557
1782422515579623400,0.58,33.119268433789884,3974.312212054786
1782422515589623400,0.59,32.81475151023513,3937.770181228216
1782422515599623400,0.6,32.51023458668038,3901.228150401646
1782422515609623400,0.61,32.20571766312563,3864.686119575076
1782422515619623400,0.62,31.901200739570882,3828.144088748506
1782422515629623400,0.63,31.59668381601613,3791.6020579219357
