lap,t_start_ns,t_end_ns,lap_time_s,sheet_lap_time_s,abs_err_s,is_flyer,validated
1,1782422597200536832,1782422638952933376,41.752,42.137,0.385,True,True
2,1782422638952933376,1782422688308212736,49.355,49.038,0.317,True,True
3,1782422688308212736,1782422730214047232,41.906,42.323,0.417,True,True
4,1782422730214047232,1782422772612856576,42.399,42.243,0.156,True,True
5,1782422772612856576,1782422813830378752,41.218,41.24,0.022,True,True
6,1782422813830378752,1782422864309598464,50.479,50.536,0.057,True,True
7,1782422864309598464,1782422906461359104,42.152,42.228,0.076,True,True
8,1782422906461359104,1782422948113923840,41.653,41.164,0.489,True,True
9,1782422948113923840,1782422989185248000,41.071,41.195,0.124,True,True
10,1782422989185248000,1782423030648694784,41.463,41.7,0.237,True,True
11,1782423030648694784,1782423072557167360,41.908,41.884,0.024,True,True
12,1782423072557167360,1782423114720172800,42.163,42.035,0.128,True,True
13,1782423114720172800,1782423156277012480,41.557,41.632,0.075,True,True
