lap,lap_valid,sectors_valid,lap_time,sector_1,sector_2,sector_3
1,True,True,42.137,20.665,15.52,5.952
2,True,True,49.038,28.082,14.824,6.132
3,True,True,42.323,20.792,15.494,6.037
4,True,True,42.243,20.992,14.899,6.352
5,True,True,41.24,20.161,14.737,6.342
6,True,True,50.536,27.416,16.676,6.444
7,True,True,42.228,21.595,15.204,5.428
8,True,True,41.164,20.28,14.194,6.69
9,True,True,41.195,19.494,15.33,6.371
10,True,True,41.7,20.729,14.847,6.124
11,True,True,41.884,20.627,15.118,6.138
12,True,True,42.035,21.027,14.805,6.203
13,True,True,41.632,20.024,15.265,6.343
